Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought
"Ridwell, Inc.",19-RC-304425,Seattle,WA,9/30/22,"Region 19, Seattle, Washington",Closed,12/2/22,Certific. of Representative,56,50,Teamsters Local Union 117,"Included: 

Any and all regularly scheduled full-time and part-time drivers, warehouse, and no statutory supervisors.

Excluded: 

Any and all regularly scheduled full-time and part-time management.
"
General Electric Company d/b/a GE Aviation,10-RC-304337,Auburn,AL,9/30/22,"Region 10, Atlanta, Georgia",Closed,10/25/22,Withdrawal Non-adjusted,,180,,"Included: All Hourly Production Employees 
Excluded: Supervisors, Engineers, Security, and Administrative Employees"
Love's Travel Stops and Country Store,08-RC-304388,Burbank,OH,9/30/22,"Region 08, Cleveland, Ohio",Closed,10/19/22,Withdrawal Non-adjusted,,13,,"All diesel technicians and diesel apprentices, truck care technicians; excluding all else, including office, clerical, professional, managerial, guards and supervisors as defined in the Act."
Starbucks Corporation,04-RC-304399,Philadelphia,PA,9/30/22,"Region 04, Philadelphia, Pennsylvania",Closed,11/15/22,Certific. of Representative,22,23,Workers United a/w SEIU,"Included:  All full-time and regular part-time Baristas and Shift Supervisors.

Excluded:  Store Managers, Asst. Store Managers, office clericals, guards and supervisors as defined by the Act."
The New York Eye and Ear Infirmary of Mount Sinai,02-RC-304333,Manhattan,NY,9/30/22,"Region 02, New York, New York",Closed,11/8/22,Certific. of Representative,5,30,1199SEIU United Healthcare Workers East,"Included: all regular full time, part time and per diem Pharmacists as residual to the existing professional unit.

Excluded:  all guards, managers, confidential employees and supervisors as defined in the act.
"
Montefiore Medical Center,02-RC-304345,Bronx,NY,9/30/22,"Region 02, New York, New York",Closed,1/4/23,Certific. of Representative,348,112,1199SEIU United Healthcare Workers East,"Included:  All regular full time, part time and per diem Physician Assistants as residual to the existing professional unit.  

Excluded: All guards, managers, confidential employees and supervisors as defined by the Act."
Allandale Farm Inc.,01-RC-304423,Brookline,MA,9/30/22,"Region 01, Boston, Massachusetts",Closed,10/31/22,Withdrawal Non-adjusted,,17,,"Included: All regular full-time and part-time retail employees of Allandale Farm Inc. including but not limited to crew, floor supervisors, and project + operations specialists. Excluded: Managerial and confidential employees, guards as defined by the act and agricultural workers"
The Trustees of Mount Holyoke College,01-RC-304231,South Hadley,MA,9/29/22,"Region 01, Boston, Massachusetts",Closed,11/18/22,Certific. of Representative,78,78,"United Food and Commercial Workers Union, Local 1459","Included: All full-time and regular part-time Residential Advisors and Residential Fellows.
Excluded:
Managers, supervisors and guards."
"TP MECHANICAL CONTRACTORS, LLC",09-RC-304309,Dayton,OH,9/29/22,"Region 09, Cincinnati, Ohio",Open,,,7,4,,"Included:  All full time and regular part time Sprinkler Fitters and Sprinkler Fitter Helpers employed by TP Mechanical
at its Dayton, Ohio location.

Excluded:  All other employees, clericals, professionals, guards, managers and supervisors as defined by the Act."
Oak LLC dba Hampton Inn Richmond West Innsbrook,05-RC-304250,Glen Allen,VA,9/29/22,"Region 05, Baltimore, Maryland",Closed,10/12/22,Withdrawal Non-adjusted,,16,,"Included:  Housekeeping Room Attendants, Housekeeping Laundry Workers, Housemen, F&B hc.

Excluded:  General Manager, Asst GM."
"VG S. Lindbergh, LLC d/b/a Good Day Farm",14-RC-304359,Affton,MO,9/29/22,"Region 14, Saint Louis, Missouri",Closed,12/2/22,Certification of Results,10,9,United Food and Commercial Workers Local 655,"Included: Patient Services Associates, Inventory;
Excluded: General Manager, Assistant General Manager.
"
Starbucks Corporation,05-RC-304319,Arlington,VA,9/29/22,"Region 05, Baltimore, Maryland",Closed,11/17/22,Certific. of Representative,12,12,"Mid-Atlantic Regional Joint Board, Workers United","Included:  All full-time and regular part-time Baristas, Shift Supervisors.

Excluded:  Store Managers, office clericals, guards and supervisors as defined by the Act.

OTHERS PERMITTED TO VOTE: At this time, no decision has been made regarding whether assistant store managers are included in, or excluded from, the bargaining unit, and individuals in this classification may vote in the election but their ballots shall be challenged since their eligibility has not been determined. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election."
"Port City Operating Company, LLC  d/b/a St. Joseph's Medical Center of Stockton, an affiliate of Dignity Health",32-RC-304275,Stockton,CA,9/28/22,"Region 32, Oakland, California",Open,,,2,2,Service Employees International Union United Healthcare Workers - West,"Included:
All Care Coordination Navigators

Excluded:
All other classifications, including but not limited to guards, managers, and supervisors, as defined by the Act."
"Ranger American Armored Services, Inc.",12-RC-304193,San Juan,PR,9/28/22,"Region 12, Tampa, Florida",Closed,12/8/22,Certific. of Representative,58,60,Sindicato de Guardias de Seguridad y Operadores de Camiones Blindados de Puerto Rico Inc.,"Included: Transportation drivers, armed transportation messengers, armed ATM technicians.

Excluded: Clerical employees, Regular Facility Guards, confidential, professional, managerial and supervisors."
Prestone Products Corporation,13-RC-304267,Alsip,IL,9/28/22,"Region 13, Chicago, Illinois",Closed,11/4/22,Certification of Results,54,50,,"Included: All full time and regular part time production and maintenance employees Excluded: All other employees including contract temporary employees, office employees, clerical employees, professional and managerial employees, guards and supervisors as defined by the act"
Riverstreet Manor,04-RC-304201,Wilkes-Barre,PA,9/28/22,"Region 04, Philadelphia, Pennsylvania",Closed,10/14/22,Withdrawal Non-adjusted,,10,,"Included:  All full time and part time occupational and assistant therapists, physical and assistant

Excluded:  All clerical and supervisors"
The School of the Art Institute of Chicago,13-RC-304185,Chicago,IL,9/28/22,"Region 13, Chicago, Illinois",Closed,1/11/23,Certific. of Representative,600,668,"Art Institute of Chicago Workers United (AICWU), AFSCME Council 31, AFL-CIO","Included: All full-time and part-time non-tenure-eligible faculty who teach at least 1 credit-bearing undergraduate or graduate course.
Attached B: Excluded: All confidential and managerial employees, and supervisors and guards as defined by the Act."
Dignity Community Care d/b/a Methodist Hospital of Sacramento and Bruceville Terrace,20-RC-304223,Sacramento,CA,9/28/22,"Region 20, San Francisco, California",Closed,12/14/22,Certification of Results,47,39,"Service Employees International Union, United Healthcare Workers-West","All Acute and Outpatient Units-Physical Therapist, Occupational Health Therapist, and Speech Therapists.
Excluded:  All other classifications, including but not limited to guards, managers, confidential employees and supervisors as defined by the Act."
Whitney Rehabilitation,01-RC-304177,Hamden,CT,9/28/22,"Region 01, Boston, Massachusetts",Closed,10/11/22,Withdrawal Non-adjusted,,6,,"Included: All full and regular part-time Physical Therapy Assistants and Occupational Therapy Assistants and Speech Therapy Assistants employed at their facility located at 2798 Whitney Avenue, Hamden, Connecticut

Excluded:  All managers, and guards, professional employees and supervisors as defined in the Act.  
"
The Hertz Corporation,03-RD-304186,Cheektowaga,NY,9/28/22,"Region 03, Buffalo, New York",Closed,11/28/22,Certification of Results,12,12,Teamsters Local 449,"Included: All full-time and regular part-time counter sales representatives stationed at Greater Buffalo Int'l Airport.

Excluded:  All other employees, guards, professional employees and supervisors as defined in the Act."
"Ultimo Holdings, LLC and Ultimo Coffee, LLC",04-RC-304360,Philadelphia,PA,9/28/22,"Region 04, Philadelphia, Pennsylvania",Closed,10/19/22,Withdrawal Non-adjusted,,28,,"Included:  Baristas, Coffee Quality Managers and Trainers

Excluded:  Store Managers"
New York-Presbyterian,02-RC-304254,Manhattan,NY,9/28/22,"Region 02, New York, New York",Closed,10/19/22,Withdrawal Non-adjusted,,225,,"Included:
Security Officers

Excluded:
Senior Security Officers, Drivers, Receptionists, Locksmiths"
"WCCC Posen, LLC",13-RC-304195,Chicago,IL,9/28/22,"Region 13, Chicago, Illinois",Closed,11/17/22,Certific. of Representative,22,25,Local 881 United Food & Commercial Workers,"Included: 
All Full-Time and regular Part-time dispensary Associates & AIC. 
Excluded: 
Managers, Guards. Proffesional employees & supervisors"
"Inner Light, Inc. d/b/a Deep Roots Piercing & Fine Jewelry",19-RC-304188,Seattle,WA,9/28/22,"Region 19, Seattle, Washington",Closed,12/1/22,Certific. of Representative,12,11,United Food and Commercial Workers Local 3000,"Included: All full-time and part-time employees, employed at Deep Roots Seattle at 4517 University Way NE , Seattle WA 98105, Deep Roots Alderwood at 18920 28th Ave W Lynnwood WA 98036, and Deep Roots Bellevue at 209 Bellevue Way NE, Bellevue WA 98004 including the following job classifications: Co-leads, Counter staff, and Jewelry Gallery Specialists. Excluded: All tattoo artists and piercing artists, as well as managers, guards, and confidential employees as defined by the Act."
PROPEL SCHOOLS; PROPEL CHARTER SCHOOL – EAST; PROPEL CHARTER SCHOOL – HAZELWOOD; PROPEL CHARTER SCHOOL - MCKEESPORT; PROPEL CHARTER SCHOOL – MONTOUR; PROPEL CHARTER SCHOOL – NORTHSIDE; PROPEL CHARTER SCHOOL – PITCAIRN; PROPEL CHARTER SCHOOL – SUNRISE D/B/A PROPEL CHARTER SCHOOL – BRADDOCK HILLS,06-UC-304098,Pittsburgh,PA,9/27/22,"Region 06, Pittsburgh, Pennsylvania",Closed,10/27/22,Withdrawal Adjusted,,430,,"Included: 
All full-time and regular part-time instructional employees, including Teachers, Special Ed Teachers, Integration Teachers, School Counselors, Therapists, Speech Therapists, Building Substitutes, College & Career Counselors, . Instructional Coaches, Science Coaches, Residency/Induction Coaches, Special Ed Coordinators, School Testing Coordinators, Speech/Language Pathologists, School Psychologists, Partners in Wellness Project Manager, School Nurses, Scholar Support Specialists, Literacy Instructional Specialists, Math Instructional Specialists, Creative Arts Advisors, Scholar Opportunities Computer Science Coordinators, District Coaches, Attendance Specialists, and Staff Nurses employed by the Employers at their Allegheny County, Pennsylvania facilities. 

Excluding 
all office clerical employees and guards, managerial employees and supervisors as defined in the Act, and all other employees."
Merrill Manufacturing Corporation,18-RD-304180,Merrill,WI,9/27/22,"Region 18, Minneapolis, Minnesota",Closed,10/26/22,Dismissal Non-adjusted,,27,,"Included:  

Excluded:  Clerical employees, guards and supervisors as defined in the National Labor Relations Act, as amended."
Our Lady of Mount Carmel Roman Catholic School,02-RD-304114,Bronx,NY,9/27/22,"Region 02, New York, New York",Closed,12/2/22,Certification of Results,9,9,Our Lady of Mount Carmel Roman School,"Included:  OLMC TA'S / Teacher Aides / Teacher Assistants

Excluded:"
"Dyno Nobel, Inc.",18-RC-304165,Ishpeming,MI,9/27/22,"Region 18, Minneapolis, Minnesota",Closed,11/16/22,Certific. of Representative,10,11,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union","Included: Operator, Lead Operator, Lead Plant Operator, Semi Driver, Blaster, and Mechanic.

Excluded: All other employees including office, clerical, supervisors, and Guards as defined by the Act."
Elm Community Charter School,29-RD-304112,Elmhurst,NY,9/27/22,"Region 29, Brooklyn, New York",Open - Blocked,,,44,40,,"Included: Teachers, Guidance Counselors
Excluded: Administration, Operations staff"
"HOP Energy, LLC d/b/a Keyser Energy",03-RC-304087,Rutland,VT,9/27/22,"Region 03, Buffalo, New York",Closed,11/28/22,Certific. of Representative,14,14,"Chauffeurs, Teamsters, Warehousemen, and Helpers Union No. 597","Included: Service Technicians, Heating Fuel Delivery Drivers Excluded: Supervisors, Security Guards, Confidential Employees, Secretaries, Dispatchers, Sales Managers"
"Chenega Global Protection, LLC",10-RC-304076,Atlanta,GA,9/27/22,"Region 10, Atlanta, Georgia",Closed,4/6/23,Certific. of Representative,18,19,United Federation LEOS-PBA Law Enforcement Officers Security & Police Benevolent Association,"Included: All full-time and regular part-time Lead Officers, performing guard duties as defined in section 9(b)(3) of the National Labor Relations Act, employed by Chenega Global Protection, LLC @ various locations in Georgia as noted in 11D Excluded: All office clerical employees, professional employees, and 2/11 supervisors as defined by the Act."
Allina Health System d/b/a Courage Kenny Rehabilitation Institute,18-RC-304279,Golden Valley,MN,9/27/22,"Region 18, Minneapolis, Minnesota",Closed,11/17/22,Certific. of Representative,53,56,SEIU Healthcare Minnesota and Iowa,"Included: nursing aides, therapy aides, recreational aides, dietary aides, health unit coordinators, licensed practical nurses. Excluded: All guards, supervisors, managerial employees, all other employees as defined by the act."
Freeway Auto Center LLC d/b/a Kia of Duluth,18-RC-304169,Duluth,MN,9/27/22,"Region 18, Minneapolis, Minnesota",Closed,11/10/22,Certification of Results,16,15,,"Included: All full-time and regular part-time Service Center Employees, including Service Technicians, Recon Detailers, Service Advisors and Parts Department Employees.

Excluded: All other Employees, Office Clerical Employees, Professional Employees, Guards and Supervisors, as defined by the Act."
"Jenny's of Oregon I, Inc. d/b/a Jenny's Dispensary",19-RC-304147,Bend,OR,9/27/22,"Region 19, Seattle, Washington",Closed,11/14/22,Withdrawal Non-adjusted,,7,,Included: All Budtenders and Leads. Excluded: All Managers and Supervisors as defined by the Act.
"Jetstream Ground Services, Inc.",10-RC-304155,Charlotte,NC,9/27/22,"Region 10, Atlanta, Georgia",Open,,,,475,,"Included:  All full time and regular part time employees performing aircraft cleaning, cargo, mail handling, and ramp handling services including, without limitation, employees classified as Cabin Cleaner, Cargo Agent, and Ramp Operations Agent.

Excluded:  Professional, office clerical, and managerial employees, guards, supervisors as defined in the Act."
"SIEMENS INDUSTRY, INC.",16-RC-304047,San Antonio,TX,9/26/22,"Region 16, Fort Worth, Texas",Closed,11/8/22,Certific. of Representative,3,3,"ROAD SPRINKLER FITTERS UNION NO. 669 U.A, AFL-CIO","Included: All full-time sprinkler fitter Service Techs.

Excluded:
All other employees, managers, professionals, guards and supervisors."
WORTHAM CENTER OPERATING COMPANY,16-RC-304090,Houston,TX,9/26/22,"Region 16, Fort Worth, Texas",Closed,11/15/22,Certific. of Representative,9,32,"THE INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, MOVING PICTURE TECHNICIANS, ARTISTS AND ALLIED CRAFTS OF THE UNITED STATES AND CANADA, AFL-CIO CLC LOCAL 51","Included: Stage Technicians handling all lighting, sound video, carpentry and props who work full time, part-time.

Excluded: All other employees, guards and supervisors as defined by the Act."
Lockheed Martin Corporation d/b/a Lockheed Martin Rotary and Mission Systems,28-RD-305350,Luke Air Force Base,AZ,9/26/22,"Region 28, Phoenix, Arizona",Closed,11/14/22,Dismissal Non-adjusted,,4,,"INCLUDED:  F-16 SME (Field Engineer Senior Staff), Weapons Director (WD), SME (Field Engineer Senior)

EXLCUDED:  Managers, supervisors, clerical workers, and all other employees including professional employees"
"Peco Foods, Inc.",15-RC-304092,West Point,MS,9/26/22,"Region 15, New Orleans, Louisiana",Open,,,778,700,,"Included: All hourly production, maintenance, warehouse, ship/receive, and QC

Excluded: All supervisors, defined in the Act, clerical and security"
Access Community Health Network,13-UD-304058,Chicago,IL,9/26/22,"Region 13, Chicago, Illinois",Closed,12/9/22,Certification of Results,12,16,,"Included:medical assistants/receptionists
"
"DAP GLOBAL, INC.",09-UC-304153,Tipp City,OH,9/26/22,"Region 09, Cincinnati, Ohio",Open,,,,18,,"Present Unit:  
Article 2.1. 1 of CBA: 
The Employer recognizes the Union as the sole bargaining agent for its production and maintenance employees (including part-time employees, if any), but excluding all employees employed by the DURESTO-WOODLIFE Division of DAP) employed at its plant at 875 North Third St., Tipp City, Ohio. This includes both those formerly employed at the Employer's 220 Janney Rd., Dayton, Ohio facility, which unit was certified by the National Labor Relations Board in Cases 9-RC-5748, dated March 4, 1964 and 9-RC-12128, dated August 1, 1977 and any production and maintenance employees (excluding DURESTO­WOODLIFE, a Division of DAP, employees hired at the 875 North Third St., Tipp City, Ohio facility). 

Included: See Article 2.1 of CBA 
Excluded: See Article 2.1 of CBA

Proposed Unit: 
Included: Production and maintenance employees (including part-time
employees, if any), employed in what is referred to as the ""adhesives"" side of its plant at 875 North Third St., Tipp City, Ohio. This includes both those formerly employed at the Employer's 220 Janney Rd., Dayton, Ohio facility, which unit was certified by the National Labor Relations Board in Cases 9-RC-5748, dated March 4, 1964 and 9-RC-12128, dated August 1, 1977 and any adhesives production and maintenance employees hired at the 875 North Third St., Tipp City, Ohio facility. 
Excluded: Production and maintenance employees employed in what is referred to as the ""paint"" side of its plant at 875 North Third St., Tipp City, Ohio. 












"
"Siemens Industry, Inc.",19-RC-304040,Portland,OR,9/26/22,"Region 19, Seattle, Washington",Closed,10/7/22,Withdrawal Non-adjusted,,3,,"Included: All full-time sprinkler fitter service techs. Excluded: All other employees, managers, professionals, guards and supervisors as defined in the Act."
Massachusetts Institute of Technology,01-RC-304042,Cambridge,MA,9/26/22,"Region 01, Boston, Massachusetts",Open,,,,1000,,"Included:	All graduate fellows enrolled in Massachusetts Institute of Technology (MIT) degree programs who are employed to provide instructional or research services.

Excluded:  All other employees; undergraduate students; graduate student resident advisors; hourly graders who are not also graduate fellows; graduate students not seeking MIT degrees, including visiting students; office clericals; managers; guards and supervisors as defined in the Act.
 
"
"Mid-Hudson Valley StaffCo, LLC",03-RC-304029,Poughkeepsie (Town),NY,9/26/22,"Region 03, Buffalo, New York",Closed,11/2/22,Certific. of Representative,13,13,1199 SEIU United Healthcare Workers East - RN Division,"Included:  All full-time and regular part-time, including per diem, Home Care Registered Nurses and Case Managers, residual to the existing Registered Nurse unit represented by Petitioner.

Excluded:  All other employees, guards and supervisors as defined in the Act."
G2O Technologies LLC,15-RD-304427,DeRidder,LA,9/26/22,"Region 15, New Orleans, Louisiana",Closed,10/27/22,Certification of Results,4,4,,"Included: 
All Production and maintenance employees

Excluded:
office employees, chemists, all supervisors"
Montefiore Medical Center,02-RC-304056,The Bronx,NY,9/26/22,"Region 02, New York, New York",Closed,10/21/22,Withdrawal Non-adjusted,,240,,"Included: All regular full time, part time and per diem Physician Assistants as residual to the existing professional unit.
Excluded: All guards, managers, confidential employees and supervisors as defined by the Act.
"
Hospital Central Services Inc.,04-RD-304033,Camden,NJ,9/23/22,"Region 04, Philadelphia, Pennsylvania",Closed,10/25/22,Certification of Results,76,82,,"Included:  production employees, shipping and receiving employees

Excluded:  mechanics"
Trader Joe’s East Inc.,29-RC-303948,Brooklyn,NY,9/23/22,"Region 29, Brooklyn, New York",Closed,11/8/22,Certification of Results,186,185,,"Included: Crew Member Excluded: Mate, Captain"
"Concrete, Inc. d/b/a Knife River",32-RC-304022,Stockton,CA,9/23/22,"Region 32, Oakland, California",Closed,11/8/22,Certification of Results,68,55,,"Included:
drivers, batchmen, yardmen/loader operators, and plant maintenance

Excluded:
Supervisors, shop, clerical employers and guards as defined in the Act"
"Prospect CCMC, LLC d/b/a Taylor Hospital",04-RC-303921,Ridley Park,PA,9/23/22,"Region 04, Philadelphia, Pennsylvania",Closed,11/15/22,Certification of Results,10,11,,"Included:  All full-time and regular part-time patient access representatives employed by the Employer at its 175 E. Chester Pike, Ridley Park, Pennsylvania facility.

Excluded:  All other employees, professional employees, guards and supervisors as defined in the Act."
Shank Screw Products Company,13-UD-303940,Aurora,IL,9/23/22,"Region 13, Chicago, Illinois",Closed,12/1/22,Certification of Results,15,17,,"Included: All full time and regular part time tool makders, machine operators, drivers, set-up operators, forklift operators, shipping and receiving employees, painters, and pressure testers employed by the Employer at the Employer's facility currently located at 4645 Roosevelt Road and 464 12th Place, Cicero, Illinois; Excluding: inspectors, office clerical employees and guards, professional employees and supervisors as defined in the Act."
"Interstate Management Company, LLC",13-RC-304002,Chicago,IL,9/23/22,"Region 13, Chicago, Illinois",Closed,10/19/22,Withdrawal Non-adjusted,,7,,"Included:
Front desk, night auditors
Excluded:
All other employees, including all managers, supervisors, and guards as defined in the Act.
"
"Crouse Health Hospital, Inc.",03-RC-303898,Syracuse,NY,9/23/22,"Region 03, Buffalo, New York",Closed,11/3/22,Certification of Results,40,41,"INTERNATIONAL UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA (SPFPA)","Included:  All full-time and part-time armed and unarmed security officers performing guard duties as defined in section 9(b)(3) of the National Labor Relations Act., employed by Crouse Hospital @ 736 Irving Ave., Syracuse, NY 13210 & 2775 Erie Blvd. East, Syracuse, NY 13224"
"Roth's IGA Foodliner, Inc. d/b/a Roth's Fresh Market",19-RC-303987,Salem,OR,9/23/22,"Region 19, Seattle, Washington",Closed,11/25/22,Certification of Results,7,8,United Food and Commercial Workers Local 555,"Included: All full- and part-time Head Meat Cutter, Journeyperson and Apprentice Meat Cutter, Journeyperson and Apprentice Meat Wrapper, Journeyperson and Apprentice Service Counter/Butcher Block and Fresh Fish Department Clerks employed at the following stores: • 918 N 1st St, Silverton, OR 97381 • 702 Lancaster Dr NE, Salem, OR 97301 • 1595 SW Baker St, McMinnville, OR 97128 • 1401 Monmouth St, Independence, OR 97351 • 4555 Liberty Rd S, Salem, OR 97302 • 1130 Wallace Rd NW, Salem, OR 97304 • 1770 Shaff Rd, Stayton, OR 97383 • 4764 Portland Rd NE, Salem, OR 97305 • 3045 Commercial Street S, Salem, OR 97302
and all full- and part-time Head Delicatessen, Journeyperson and Apprentice Delicatessen Clerks employed by the Employer at 3045 Commercial Street S, Salem, OR 97302. Excluded: All other employees, including supervisors, managers, and guards as defined by the Act."
"Champion Specialty Services as Joint Employer with Holtec Decommissioning International (""HDI"")",01-RC-304016,Plymouth,MA,9/23/22,"Region 01, Boston, Massachusetts",Open - Blocked,,,,16,,"lncluded: All employees working as Laborers to perform the work associated with and required to decommission, decontaminate, demolish, and restore the Pilgrim Nuclear Power Generation site. Excluded: All other employees, employees working as Electricians, employees working as operating Engineers, office and clerical employees, professional
employees, watchmen, guards, and supervisors as defined in the Act."
"CBRE, Inc.",29-RC-303955,Whitestone,NY,9/23/22,"Region 29, Brooklyn, New York",Closed,12/9/22,Certification of Results,19,5,"International Union of Operating Engineers Local 30, AFL-CIO","Included: All full time and regular part time Mobile Engineers working in New York, New Jersey, Connecticut, Pennsylvania, and Connecticut for Davita as the Avanti group.

Excluded: 
All clerical employees, professional employees, guards and supervisors under the act."
"SUNERGOS COFFEE, LTD. CO.",09-RC-303946,Louisville,KY,9/23/22,"Region 09, Cincinnati, Ohio",Closed,1/20/23,Certific. of Representative,50,35,"National Conference of Firemen & Oilers, 32BJ SEIU","Included: All hourly baristas and shift leads employed at 2122 S. Preston St; 306 West Woodlawn; 232 S. 5th St; 1647 Norris Place.  

Excluded: All managers, bakery staff, wholesale distribution staff, office and clerical staff."
"TLP Management Services LLC, a subsidiary of Transmontaigne Operating Company L.P.",19-RD-303988,Tacoma,WA,9/22/22,"Region 19, Seattle, Washington",Closed,11/23/22,Certification of Results,25,26,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO","Included: All Full Time, and regular part time, production and Maint Employees and Leads at Seaport Sound Terminal. Excluded: Office clerical, Inventory, IT, Lab, QC, Compliance, Environmental, Managers, Professionals, Supervisors as defined in the Act."
"Safeway, Inc.",32-RC-303887,Tracy,CA,9/22/22,"Region 32, Oakland, California",Closed,12/9/22,Certification of Results,15,17,Teamsters Union Local 439,"Included:
All full time and regular part time inventory control clerks

Excluded:
All other employees, guards and supervisors"
Starbucks Corporation,13-RC-303877,Elmhurst,IL,9/22/22,"Region 13, Chicago, Illinois",Closed,12/15/22,Certific. of Representative,26,24,"Chicago & Midwest Regional Joint Board, Workers United/SEIU","Included:
All full-time and regular part-time Baristas and Shift Supervisors.

Excluded:

Store Managers,
Office Clericals, 
Guards, Proffesional Employees and Supervisors."
The Newberry Library,13-RC-303844,Chicago,IL,9/22/22,"Region 13, Chicago, Illinois",Closed,11/17/22,Certific. of Representative,54,64,"Newberry Workers United(NWU), AFSCME Council 31","
Included:  All full-time and regular part time employees who work with Collections, Library Services, Exhibitions, Development, Finance and Administration, Newberry Library Institute for Research and Education, and The Office of The President and Librarian who are employed at The Newberry Library. 
Attached B: 
Excluded:  All confidential and managerial employees; and guards and supervisors as defined by the Act."
STARBUCKS CORPORATION,16-RC-303916,Shavano Park,TX,9/22/22,"Region 16, Fort Worth, Texas",Closed,11/15/22,Certific. of Representative,25,17,Workers United Labor Union International a/w Service Employees International Union,"Included: All full-time & regular part-time Baristas and Shift Supervisors.

Excluded: Assistant Store Manager, Store Manager, Office Clerical, Guards, Professional Employees & Supervisors."
"Flaherty Retail of Maine, Brunswick LLC d/b/a Little Dog by the MET",01-RC-303772,Brunswick,ME,9/21/22,"Region 01, Boston, Massachusetts",Closed,12/8/22,Certific. of Representative,8,10,Workers United,"Included: Barista, shift lead, shift manager Excluded: Store Manager"
"Proximo Distillers, LLC d/b/a Stranahan's Colorado Whiskey",27-RC-303795,Denver,CO,9/21/22,"Region 27, Denver, Colorado",Closed,11/18/22,Certific. of Representative,16,14,"United Food and Commercial Workers International Union, Local 7, AFL-CIO","Included: All full-time and part-time Distillers I, II, III and Bottling Operators I, II, III employed at the 200 S. Kalamath facility. Excluded: All Tour Guides, Bartenders, Warehouse Supervisors, Production Leads, Production Administrators, Maintenance Technicians, Bottling Managers, Production Supervisors, office and clerical employees, watchmen, guards and professional employees and supervisors as defined in the National Labor Relations Act, as amended, and all other employees."
Veolia North America,07-RD-303998,Wyandotte,MI,9/21/22,"Region 07, Detroit, Michigan",Closed,11/10/22,Certification of Results,33,29,"Michigan Council 25, American Federation of State, County and Municipal Employees (AFSCME), AFL-CIO","Included:  Operations, Maintenace, Lab Staff, Collections Systems, O&M

Excluded:  Management"
"Aria Resort & Casino, LLC",28-RC-303790,Las Vegas,NV,9/21/22,"Region 28, Phoenix, Arizona",Closed,10/21/22,Certification of Results,8,8,"International Union of Operating Engineers Local 501, AFL-CIO","INCLUDED:  All regular full-time and regular part-time employees working in the Facilities Maintenance Department in the following classification:  Electronic Technician

EXLCUDED:  All secretarial, office clerical, sales and all managers, supervisors and guards as defined in the National Labor Relations Act."
Attwood Corporation,07-RD-303821,Lowell,MI,9/21/22,"Region 07, Detroit, Michigan",Closed,10/12/22,Withdrawal Non-adjusted,,119,,"Included:  Asembly workers and hi-lo drivers

Excluded:  Non-Union Eligble Employees"
"BVHT, Inc.",06-RM-303804,Monaca,PA,9/21/22,"Region 06, Pittsburgh, Pennsylvania",Closed,9/27/22,Withdrawal Non-adjusted,,4,,"Included:  All production and maintenance employees.

Excluded:   All office clericals, guards, professional employees, managerial employees and supervisors as defined in the Act."
GEO Specialty Chemicals,15-RD-303808,DeRidder,LA,9/21/22,"Region 15, New Orleans, Louisiana",Closed,9/30/22,Withdrawal Non-adjusted,,4,,"Included: All production and maintenance employees

Excluded: office employees, chemists, all supervisors"
"Audacy California, LLC d/b/a KCBS",20-RC-303793,San Francisco,CA,9/21/22,"Region 20, San Francisco, California",Closed,11/18/22,Certific. of Representative,5,5,Digital and Multimedia Workers Union (DMWU),"Included: All full time and part time employees on the Digital Team. Job classifications include Digital Content Producers, Social Media Producers, and Multimedia Producers. 

Excluded: Supervisory and Managerial Employees
"
Good Day Farms,14-RC-303733,Affton,MO,9/20/22,"Region 14, Saint Louis, Missouri",Closed,9/29/22,Withdrawal Non-adjusted,,9,,"Included: Patient Services Associates, Inventory;
Excluded: General Manager, Assistant General Manager
"
"Lewis Tree Service, Inc.",01-RC-303738,Farmington,NH,9/20/22,"Region 01, Boston, Massachusetts",Closed,1/26/23,Certific. of Representative,14,15,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 1837,"Incl: Groundman,  Tree Trimmer/Climber, Driver, Crew Leader, Foreman, Lead Foreman.

Excl. Office clerical employees, professional employees and supervisors, under the Act."
"Draconis Enterprises, LLC d/b/a Grease Monkey #73",27-RC-303716,Broomfield,CO,9/20/22,"Region 27, Denver, Colorado",Closed,10/11/22,Withdrawal Non-adjusted,,8,,"Included: All current full-time and regular part-time employees at the 7400 U.S. 287 Broomfield, Colorado location. Excluded: All store managers, office and clerical employees, watchmen, guards, professional employees and supervisors as defined in the National Labor Relations Act, as amended, and all other employees at other locations operated by Draconis Enterprises, LLC"
