"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Allegations,Participants,Union,"Unit Sought",Voters
C,"Region 16, Fort Worth, Texas",16-CA-256496,"Prime Communications, LP",Closed,02/18/2020,04/14/2020,"Withdrawal Non-adjusted","Sugar Land",TX,200,"8(a)(1) Coercive Rules
","Charging Party, Individual
Charged Party / Respondent, Employer, PRIME COMMUNICATIONS, LP, SUGAR LAND, TX, 77478
",,,
R,"Region 19, Seattle, Washington",19-RC-256439,"PeaceHealth d/b/a PeaceHealth Sacred Heart Medical Center",Closed,02/18/2020,05/20/2020,"Certific. of Representative",Springfield,OR,10,,"Employer, Additional Service, Skoog Erika, PeaceHealth d/b/a PeaceHealth Sacred Heart Medical Center, 3333 RiverBend Drive, Springfield, OR, 97477
Employer, Legal Representative, Dudrey John, Stoel Rives, LLP, 760 SW 9th Ave Ste 3000, Portland, OR, 97205-2586, (503)294-9227
Petitioner, Legal Representative, Doyle Thomas, Bennett Hartman Morris and Kaplan, 210 SW Morrison Street, Portland, OR, 97204, (503)333-5975
Employer, Employer, PeaceHealth d/b/a PeaceHealth Sacred Heart Medical Center, Vancouver, WA, 98683, (360)729-1083
Petitioner, Union, Oregon Nurses Association, Tualatin, OR, 97062-____
","Oregon Nurses Association","Employees Included: All Nurse Practitioners and Advanced Practice Registered Nurses Employed at Riverbend/UD for self determination inclusion with existing RN Unit at that location. Employees Excluded: Supervisors, Managers.",5
C,"Region 06, Pittsburgh, Pennsylvania",06-CA-256816,"AHF Products",Closed,02/18/2020,05/01/2020,"Dismissal Non-adjusted",Elkins,WV,490,"8(a)(1) Interrogation (including Polling)
","Charged Party / Respondent, Employer, AHF Products, Chicago, IL, 60602-3801
Charging Party, Union, Chauffeurs Teamsters and Helpers Local Union No. 175 a/w International Brotherhood of Teamsters, South Charleston, WV, 25303-____
",,,
R,"Region 28, Phoenix, Arizona",28-RC-256504,"Decypher Technologies, Ltd.",Closed,02/18/2020,03/20/2020,"Certific. of Representative","San Antonio",TX,6,,"Employer, Additional Service, Pope John, Decypher Technologies LLC, 200 Concord Plaza Drive, Suite 780, San Antonio, TX, 782166972, (210)547-0082
Petitioner, Notification, Haller William, IAMAW, 9000 Machinists Place, Room 202, Upper Marlboro, MD, 20772-2687, (301)967-4510
Petitioner, Legal Representative, Lopez Xochitl, Weinberg, Roger & Rosenfeld, 1001 Marina Village Parkway, Suite 200, Alameda, CA, 94501, (510)337-1001
Petitioner, Union, International Association of Machinists and Aerospace Workers, Local Lodge SC711, Las Vegas, NV, 89130, (725)735-6119
Employer, Employer, Decypher Technologies Ltd., Nellis AFB, NV, 89191
","International Association of Machinists and Aerospace Workers, Local Lodge SC711","INCLUDED:  All full-time and regular part-time Medical Office Clerks employed by the Employer at Mike O'Callaghan Military Medical Center.

EXCLUDED:  All managers, site supervisors, all other professional employees, guards and supervisors as defined by the Act.",9
C,"Region 02, New York, New York",02-CB-256695,"32BJ, SEIU (Solil Management LLC)",Closed,02/18/2020,04/15/2020,"Dismissal Non-adjusted","New York",NY,9,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative, Arsem-O'Malley Queen, Service Employees International Union Local 32BJ, 25 West 18th Street, New York, NY, 10011, (212)388-3642
Charging Party, Individual
Charged Party / Respondent, Additional Service, Service Employees International Union, Washington, DC, 20036
Charged Party / Respondent, Union, 32BJ, SEIU, NEW YORK, NY, 10011
Involved Party, Employer, SOLIL MANAGEMENT LLC, NEW YORK, NY, 10036
",,,
C,"Region 31, Los Angeles, California",31-CA-256558,"Antelope Valley Hospital",Closed,02/18/2020,03/11/2020,"Withdrawal Non-adjusted",Lancaster,CA,2400,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
8(a)(2) Domination
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Employer, Antelope Valley Hospital, Lancaster, CA, 93534
Charging Party, Individual
",,,
C,"Region 28, Phoenix, Arizona",28-CA-256706,"Dependable Home Health, Inc. d/b/a Dependable Health Services",Closed,02/18/2020,04/29/2020,"Withdrawal Non-adjusted",Nogales,AZ,50,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charging Party, Individual
Charged Party / Respondent, Employer, Dependable Home Health, Inc. d/b/a Dependable Health Services, Nogales, AZ, 85621
",,,
C,"Region 21, Los Angeles, California",21-CA-256588,"United States Postal Service",Closed,02/18/2020,03/27/2020,"Withdrawal Adjusted",ANAHEIM,CA,500,"8(a)(5) Refusal to Furnish Information
8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Legal Representative, Henry Adrian, United States Postal Service, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (562)628-1348
Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Law Office - NLRB Unit, 475 L’Enfant Plaza, SW, Washington, DC, 20260, (720)221-5128
Charging Party, Additional Service, Anaheim, CA, 92807
Charged Party / Respondent, Employer, United States Postal Service - Anaheim P&DC, Anaheim, CA, 92899-9998
Charging Party, Union, Southwest Coastal Area Local, American Postal Workers Union, AFL-CIO, Anaheim, CA, 92807
",,,
C,"Region 27, Denver, Colorado",27-CA-256513,"Midfield Concession Enterprises",Closed,02/18/2020,04/02/2020,"Withdrawal Non-adjusted",Denver,CO,140,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Employer, Midfield Concession Enterprises, Romulus, MI, 48174
Charging Party, Union, UNITE HERE Local 23, AFL-CIO, Denver, CO, 80239
",,,
C,"Region 10, Atlanta, Georgia",10-CA-256507,AT&T,Closed,02/18/2020,04/22/2020,"Withdrawal Adjusted",Atlanta,GA,25,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
8(a)(5) Refusal to Furnish Information
8(a)(5) Refusal to Recognize
","Charged Party / Respondent, Legal Representative, Pierce Cameron, Littler Mendelson, P.C., 3424 Peachtree Road NE, Suite 1200, Atlanta, GA, 30326, (404)760-3904
Charged Party / Respondent, Employer, AT&T, Atlanta, GA, 30324-____
Charging Party, Union, Communication Workers of America, Norcross, GA, 30071-____
",,,
C,"Region 25, Indianapolis, Indiana",25-CA-256572,"Sheet Metal Workers Local 20 Welfare and Benefit Fund",Closed,02/18/2020,04/29/2020,"Dismissal Non-adjusted",Indianapolis,IN,5,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
","Charged Party / Respondent, Legal Representative, Vlink David, Macey Swanson Hicks & Sauer, LLP, 3719 S. East St. Ste. A, Indianapolis, IN, 46227, (219)688-8226
Charging Party, Individual
Charged Party / Respondent, Employer, Sheet Metal Workers Local 20 Welfare and Benefit Fund, Indianapolis, IN, 46205
",,,
C,"Region 01, Boston, Massachusetts",01-CA-256570,"New Britain Transportation",Closed,02/18/2020,03/03/2020,"Withdrawal Non-adjusted",Berlin,CT,73,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
","Charged Party / Respondent, Legal Representative, Heary Robert, Barclay Damon, LLP, The Avant Building, 200 Delaware Avenue, Suite 1200, Buffalo, NY, 14202, (716)566-1570
Charged Party / Respondent, Employer, The New Britain Transportation Company, Berlin, CT, 06037
Charging Party, Union, International Brotherhood of Teamsters Joint Council 10 New England, Teamsters Local 493, BOSTON, MA, 02129
",,,
C,"Region 15, New Orleans, Louisiana",15-CB-256574,"IATSE, Local 492 (Various Short Duration Film Productions)",Closed,02/18/2020,04/01/2020,"Withdrawal Non-adjusted",Memphis,TN,50,"8(b)(1)(A) Hiring Halls
8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charging Party, Individual
Charged Party / Respondent, Union, International Alliance of Stage and Theatrical Employees Union, Local 492, Nashville, TN, 37207
",,,
C,"Region 14, Saint Louis, Missouri",14-CA-256414,"ABB, Inc.",Closed,02/18/2020,04/14/2020,"Dismissal Non-adjusted","Jefferson City",MO,1100,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
","Charged Party / Respondent, Legal Representative, Porter Richard, ABB, Inc., 23000 Harvard Rd, Cleveland, OH, 44122-7234, (216)832-0967
Charged Party / Respondent, Employer, ABB, Inc., Jefferson City, MO, 65101
Charging Party, Individual
",,,
C,"Region 16, Fort Worth, Texas",16-CA-256499,"United States Postal Service",Closed,02/18/2020,07/21/2020,"Informal Settlement",Dayton,TX,50,"8(a)(5) Refusal to Furnish Information
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Legal Representative, Thompson Joy, United States Postal Service, Law Department - NLRB Unit,, 475 L'Enfant Plaza SW, Washington, DC, 20260, (202)268-2390
Charging Party, Union, AMERICAN POSTAL WORKERS UNION HOUSTON LOCAL 185, GALENA PARK, TX, 77547-0254
Charged Party / Respondent, Employer, UNITED STATES POSTAL SERVICE, DAYTON, TX, 77535-9998
",,,
C,"Region 12, Tampa, Florida",12-CA-256473,"United States Postal Service",Closed,02/18/2020,03/03/2020,"Withdrawal Non-adjusted",Jacksonville,FL,500,"8(a)(1) Coercive Rules
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Legal Representative, Delvecchio Patricia, United States Postal Service (Law Department - NLRB Unit), 1720 Market St, Rm 2400, St. Louis, MO, 63155-9948, (727)464-2913
Charging Party, Individual
Charged Party / Respondent, Employer, United States Postal Service, Jacksonville, FL, 32203-____
",,,
C,"Region 09, Cincinnati, Ohio",09-CA-256455,"COMPASS ONE GROUP",Closed,02/18/2020,07/06/2020,"Withdrawal Non-adjusted",Cincinnati,OH,227,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
","Charged Party / Respondent, Legal Representative, Ciulla Ashleigh, Compass Group USA Inc., d/b/a Restaurant Associates of New York, LLC, 2400 Yorkmont Road, Charlotte, NC, 28217-4511, (704)928-8599
Charged Party / Respondent, Employer, Cincinnati, OH, 45219
Charging Party, Union, AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES,  AFL-CIO (AFSCME) LOCAL 217, Cincinnati, OH, 45229-1097
",,,
C,"Region 01, Boston, Massachusetts",01-CA-256432,"G4S Secure Solutions USA Inc.",Closed,02/18/2020,04/20/2020,"Withdrawal Non-adjusted",Hartford,CT,180,"8(a)(1) Weingarten
","Charged Party / Respondent, Legal Representative, SELEMAN FRED, G4S NORTH AMERICA, 1515 N. Highway A1A, #201, Indialantic, FL, 32903, (440)552-9926
Charging Party, Union, UGSOA International, Uncasville, CT, 06382-____
Charged Party / Respondent, Employer, G4S Secure Solutions USA Inc., Hartford, CT, 06106-____
",,,
C,"Region 10, Atlanta, Georgia",10-CA-256453,"Synchrony Labs, LLC",Closed,02/18/2020,09/01/2020,"Informal Settlement",Durham,NC,20,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Williams Devon, Post Office Box 33009, Raleigh, NC, 27636, (919)277-9132
Charging Party, Individual
Charged Party / Respondent, Employer, Synchrony Labs, LLC, 3908 Patriot Drive Suite 170, Durham, NC, 27703
",,,
R,"Region 27, Denver, Colorado",27-RC-256466,"Albertson's, LLC",Closed,02/18/2020,04/16/2020,"Certification of Results",Casper,WY,5,,"Employer, Legal Representative, Zenor John, Law Office of John L. Zenor, 7933 Painted Sunset Dr., Las Vegas, NV, 89149-6456, (702)395-1588
Employer, Additional Service, McLauchlin Robert, Albertson's, 2625 E. 2nd Street, Casper, WY, 82609, (208)395-6154
Petitioner, Legal Representative, Palladino Samantha, United Food and Commercial Workers, Local 7, AFL-CIO, 7760 West 38th Avenue Suite 400, Wheat Ridge, CO, 80033, (303)425-0897
Petitioner, Legal Representative, McNamara Todd, United Food and Commercial Workers Local 7, AFL-CIO, 7760 W. 38th Avenue, Wheat Ridge, CO, 80033, (303)425-0897
Petitioner, Union, United Food and Commercial Workers Local 7, AFL-CIO, Wheat Ridge, CO, 80033, (303)425-0897
Employer, Employer, Albertson's, Centennial, CO, 80112, (208)395-6154
","United Food and Commercial Workers Local 7, AFL-CIO","Included: All Pharmacy Technicians in self-determination election to determine whether they will be represented by Petitioner and join the existing Casper retail bargaining unit represented by Petitioner (Armour-Globe election). Excluded: Store Director, Assistant Store Director, all other employees, supervisors, security, confidential, professional, and all temporary employees as defined in the Act.",6
C,"Region 02, New York, New York",02-CA-256662,"New York University",Closed,02/18/2020,04/13/2020,"Withdrawal Non-adjusted","New York",NY,200,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Grimshaw Kristina, Florentino & Grimshaw LLP, 60 E. 42nd St., Suite 4700, New York, NY, 10165, (212)324-1715
Charged Party / Respondent, Legal Representative, Florentino Tonianne, Florentino & Grimshaw LLP, 60 E. 42nd St., Suite 4700, New York, NY, 10165, (212)324-1715
Charging Party, Union, Teamsters Union Local 810, Long Island City, NY, 11101-____
Charged Party / Respondent, Employer, New York University, New York, NY, 10003-____
",,,
C,"Region 03, Buffalo, New York",03-CA-256413,"Wendcentral Corp.",Closed,02/18/2020,04/24/2020,"Withdrawal Adjusted",Cortland,NY,50,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charging Party, Legal Representative, Satter Mimi, Satter Ruhlen Law Firm, PLLC, 217 S. Salina St., 6th Fl., Syracuse, NY, 13202-1501, (315)471-0405
Charged Party / Respondent, Legal Representative, Bean Rodney, Steptoe & Johnson PLLC, PO Box 1616, Morgantown, WV, 26507-1616, (304)598-8140
Charging Party, Individual
Charged Party / Respondent, Employer, Cortland, NY, 13045
Charged Party / Respondent, Additional Service, Wendcentral Corp/Restaurant Office Management, Cortland, NY, 13045
",,,
C,"Region 02, New York, New York",02-CB-256660,"SEIU Local 32BJ (Quality Building Services)",Closed,02/18/2020,04/20/2020,"Dismissal Non-adjusted","New York",NY,500,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative, Strom Andrew, Service Employees International Union, 1800 Massachusetts Avenue, Washington, DC, 20036, (202)730-7168
Charged Party / Respondent, Legal Representative, Haro Evelyn, Service Employees International Union, Local 32BJ, 25 West 18th Street, 5th Floor, New York, NY, 10011, (212)388-3855
Charging Party, Individual
Involved Party, Employer, QUALITY BUILDING SERVICES CO., New York, NY, 10017-8642
Charged Party / Respondent, Union, 32BJ SEIU, New York, NY, 10011
",,,
C,"Region 25, Indianapolis, Indiana",25-CA-256458,"T&T Heating, Air Conditioning and Geothermal",Closed,02/18/2020,03/05/2020,"Withdrawal Non-adjusted",Laotto,IN,50,"8(a)(3) Refusal to Consider/Hire Applicant (salting only)
","Charged Party / Respondent, Employer, T&T Heating, Air Conditioning and Geothermal, Laotto, IN, 46763
Charging Party, Union, Sheet Metal, Air, Rail and Transportation Workers Local Union No 20, Indianapolis, IN, 46220-0530
",,,
C,"Region 18, Minneapolis, Minnesota",18-CA-256576,"Columbia St. Mary's Ascension",Closed,02/18/2020,03/04/2020,"Dismissal Non-adjusted",Milwaukee,WI,5000,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Christensen Brian, JACKSON LEWIS, P.C., 330 E. Kilbourn Suite 560, Milwaukee, WI, 53202, (414)944-8900
Charged Party / Respondent, Legal Representative, Moore Trecia, Jackson Lewis P.C., 7101 College Blvd. Suite 1200, Overland Park, KS, 66210, (816)983-8000
Charging Party, Individual
Charged Party / Respondent, Employer, Columbia St. Mary's Ascension, Milwaukee, WI, 53211
",,,
C,"Region 19, Seattle, Washington",19-CA-256538,"Conifer House Operating Company LLC",Closed,02/18/2020,03/04/2020,"Withdrawal Adjusted",Corvallis,OR,27,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Damm Jacqueline, Ogletree Deakins Nash Smoak & Stewart, PC, 222 SW Columbia Street, Suite 1500, Portland, OR, 97201-6641, (503)552-2140
Charged Party / Respondent, Legal Representative, Kienbaum Ursula, Ogletree Deakins Nash Smoak & Stewart, PC, 222 SW Columbia Street, Suite 1500, Portland, OR, 97201-6641, (503)552-2140
Charged Party / Respondent, Employer, Conifer House Operating Company LLC, West Linn, OR, 97068-____
Charging Party, Union, Service Employees International Union Local 503, Salem, OR, 97309-____
",,,
C,"Region 21, Los Angeles, California",21-CA-256591,"The Vons Companies, Inc.",Closed,02/18/2020,07/15/2020,"Withdrawal Non-adjusted",Riverside,CA,50,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(3) Discipline
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(1) Interrogation (including Polling)
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charging Party, Legal Representative, Lively Amanda, Wohlner Kaplon Cutler Halford and Rosenfeld, 16501 Ventura Boulevard, Suite 304, Encino, CA, 91436-2067, (818)501-8030
Charged Party / Respondent, Legal Representative, Nelson Warren, FISHER & PHILLIPS LLP, 2050 Main Street, Suite 1000, Irvine, CA, 92614, (949)851-2424
Charging Party, Union, Teamsters Local Union No. 952, International Brotherhood of Teamsters, Orange, CA, 92868-2698
Charged Party / Respondent, Employer, The Vons Companies, Inc., Riverside, CA, 92508
",,,
C,"Region 01, Boston, Massachusetts",01-CB-256511,"UNITE HERE LOCAL 26 (The Ritz-Carlton Hotel Company, LLC)",Closed,02/18/2020,03/24/2020,"Withdrawal Non-adjusted",BOSTON,MA,100,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative, ROME DAVID, Pyle Rome Ehrenberg PC, 2 LIBERTY SQ., 10TH FLOOR, BOSTON, MA, 02109, (617)367-7200
Involved Party, Employer, THE RITZ-CARLTON HOTEL COMPANY LLC, BOSTON, MA, 02111
Charged Party / Respondent, Union, UNITE HERE LOCAL 26, MEDFORD, MA, 02155
Charging Party, Individual
",,,
R,"Region 20, San Francisco, California",20-RC-256536,"Hawaiian Ice Company",Closed,02/18/2020,03/18/2020,"Certification of Results",Honolulu,HI,10,,"Employer, Legal Representative, Belcaid Christine, Torkildson Katz, A Law Corporation, 700 Bishop Street, 15th Floor, Topa Financial Center, Honolulu, HI, 96813-4116, (808)523-6000
Employer, Legal Representative, Harris Jeffrey, Torkildson Katz, A Law Corporation, 700 Bishop Street, 15th Floor, Topa Financial Center, Honolulu, HI, 96813-4116, (808)523-6000
Petitioner, Union, Hawaii Teamsters and Allied Workers, Local 996, Honolulu, HI, 96819, (808)847-6633
Employer, Employer, Hawaiian Ice Company, Honolulu, HI, 96817, (808)538-6918
",,"INCLUDED: Drivers

EXCLUDED: Any and all Managers, Supervisors, Superintendents, Watchmen, and Security Personnel",12
R,"Region 29, Brooklyn, New York",29-RC-256449,"Cogent Waste Solutions LLC",Closed,02/18/2020,03/26/2021,"Certific. of Representative",Brooklyn,NY,65,,"Employer, Legal Representative, Maguire Amanda, Dealy, Silberstein & Braverman, LLP, 225 Broadway, Suite 1405, New York, NY, 10007, (212)385-0066
Intervenor, Legal Representative, Cole Larry, STARR, GERN, 105 Eisenhower Parkway, Suite 401, Roseland, NJ, 07068-1640, (973)403-9200
Employer, Legal Representative, Braverman Marc, Dealy, Silberstein & Braverman, LLP, 225 Broadway Ste 1405, New York, NY, 10007-3768, (212)385-0066
Employer, Legal Representative, Silberstein Milo, Dealy, Silberstein & Braverman, LLP, 225 Broadway, Suite 1405, New York, NY, 10007, (212)385-0066
Petitioner, Legal Representative, Rosenblum Tamir, Mason Tenders District Council of Greater New York, 520 Eighth Avenue, Suite 650, New York, NY, 10018, (212)452-9451
Employer, Employer, GPB Waste Ny LLC d/b/a Five Star Carting, Inc, Maspeth, NY, 11378, (718)349-7555
Intervenor, Union, League of International Federated Employees, Local 890, Brooklyn, NY, 11209
Petitioner, Union, Waste Material  Recycling and General Industrial Laborers, Local 108, New York, NY, 10010
Intervenor, Union, LOCAL 813 INTERNATIONAL BROTHRHOOD OF TEAMSTERS, (202)236-7259
","League of International Federated Employees, Local 890","Included: All full-time and part-time drivers. Excluded: Clerical and professional employees, guards, supervisors.",52
C,"Region 15, New Orleans, Louisiana",15-CA-256521,"Valmet, Inc.",Closed,02/18/2020,04/06/2020,"Withdrawal Non-adjusted",Columbus,MS,90,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
8(a)(4) Discharge (including Layoff and Refusal to Hire)
","Charging Party, Additional Service, United Steel Workers Legal Department, Pittsburgh, PA, 15222-1214
Charged Party / Respondent, Employer, Valmet, Inc., Columbus, MS, 39702-8909
Charging Party, Union, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial & Service Workers International Union, AFL-CIO, CLC or United Steelworkers, Pittsburgh, PA, 15222
",,,
C,"Region 28, Phoenix, Arizona",28-CA-256706,"Dependable Home Health, Inc. d/b/a Dependable Health Services",Closed,02/18/2020,04/29/2020,"Withdrawal Non-adjusted",Nogales,AZ,50,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charging Party, Individual
Charged Party / Respondent, Employer, Dependable Home Health, Inc. d/b/a Dependable Health Services, Nogales, AZ, 85621
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-256478,"CoventBridge Group",Closed,02/18/2020,04/06/2020,"Withdrawal Non-adjusted",Opelousas,LA,800,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charging Party, Individual
Charged Party / Respondent, Employer, Coventbridge Group, jacksonville, FL, 32235
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-256582,"Eaton Aerospace",Closed,02/18/2020,02/28/2020,"Withdrawal Non-adjusted",Jackson,MS,400,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Employer, Eaton Aerospace, Jackson, MS, 39206-____
Charging Party, Union, IUE-CWA Local 83792, Jackson, MS, 39206
",,,
C,"Region 29, Brooklyn, New York",29-CA-256557,"Altice Technical Services",Closed,02/18/2020,06/22/2020,"Withdrawal Adjusted",Brooklyn,NY,200,"8(a)(3) Discipline
8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, , Frank Erica, Kauff McGuire & Margolis, LLP, 950 Third Avenue, 14th Floor, New York, NY, 10022, (212)909-0712
Charging Party, Individual
Charged Party / Respondent, Employer, Altice Technical Services, 9502 Avenue D, Brooklyn, NY, 11236, (718)257-6615
",,,
C,"Region 04, Philadelphia, Pennsylvania",04-CA-256508,"Albert Einstein Medical Center",Closed,02/18/2020,12/11/2020,"Withdrawal Non-adjusted",Philadelphia,PA,3500,"8(a)(1) Coercive Actions (Surveillance, etc)
8(a)(1) Coercive Rules
8(a)(5) Refusal to Furnish Information
","Charged Party / Respondent, Legal Representative, Rolfes Andrew, Cozen O'Connor, One Liberty Place, Suite 2800, 1650 Market Street, Philadelphia, PA, 19103, (215)665-2177
Charging Party, Legal Representative, Walters Jonathan, Markowitz and Richman, 123 South Broad Street, Suite 2020, Philadelphia, PA, 19109, (215)875-3121
Charged Party / Respondent, Employer, Einstein Healthcare Network, 5501 Old York Road, Philadelphia, PA, 19141, (215)456-7890
Charging Party, Union, Einstein Nurses United a/w PASNAP, 1 Fayette St., Suite 475, Conshohocken, PA, 19428, (215)527-2003
Charging Party, Additional Service, PASNAP, 3305 N. Park Avenue, Philadelphia, PA, 19140, (215)527-2003
",,,
R,"Region 19, Seattle, Washington",19-RC-256529,"Growing Seeds at Crystal Springs, Inc.",Closed,02/18/2020,03/19/2020,"Certific. of Representative",Portland,OR,19,,"Employer, Additional Service, Register Ashley, Growing Seeds at Crystal Springs, Inc., 2808 SE Steele Street, Portland, OR, 97202, (971)254-4365
Petitioner, Legal Representative, MAGLIO EMILY, Leonard Carder LLP, 1188 Franklin Street, Suite 201, San Francisco, CA, 94109, (415)771-6400
Petitioner, Union, International Longshore and Warehouse Union, Portland, OR, 97228-6440, (503)933-7550
Employer, Employer, Growing Seeds at Crystal Springs, Inc., Corbett, OR, 97019
","International Longshore and Warehouse Union","Included: All employees. Excluded: Office clericals, guards, managers, and supervisors as defined in the Act.",20
C,"Region 06, Pittsburgh, Pennsylvania",06-CA-256512,"Murray American Energy, Inc. & Harrison County Coal Co., a Single Employer",Closed,02/18/2020,03/25/2020,"Withdrawal Adjusted",Mannington,WV,288,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Glass Michael, Ogletree Deakins Nash Smoak & Stewart, PC, One PPG Place, Suite 1900, Pittsburgh, PA, 15222, (412)394-3340
Charged Party / Respondent, Legal Representative, Smock Thomas, Ogletree, Deakins, Nash, Smoak & Stewart, PC, One PPG Place, Suite 1900, Pittsburgh, PA, 15222, (412)394-3335
Charged Party / Respondent, Employer, Murray American Energy, Inc. & Harrison County Coal Co., a Single Employer, St. Clairsville, OH, 43950
Charging Party, Union, United Mine Workers of America, Triangle, VA, 22172-1779
",,,
C,"Region 15, New Orleans, Louisiana",15-CB-256571,"IATSE, Local 492 (Various Short Duration Film Productions)",Closed,02/18/2020,04/01/2020,"Withdrawal Non-adjusted",Memphis,TN,50,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
8(b)(1)(A) Hiring Halls
","Charging Party, Individual
Charged Party / Respondent, Union, International Alliance of Stage and Theatrical Employees Union, Local 492, Nashville, TN, 37207
",,,
C,"Region 28, Phoenix, Arizona",28-CA-256550,"Aria Resort & Casino, LLC d/b/a Aria",Closed,02/18/2020,10/07/2020,"Informal Settlement","Las Vegas",NV,5000,"8(a)(3) Changes in Terms and Conditions of Employment
8(a)(1) Weingarten
8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Tinnerello Kathleen, MGM Resorts International, 6385 S. Rainbow Boulevard, Suite 500, Las Vegas, NV, 89118, (702)692-1289
Charging Party, Individual
Charged Party / Respondent, Employer, Aria Resort and Casino, Las Vegas, NV, 89109
",,,
