Name,"Case Number",City,"States & Territories","Date Filed","Region Assigned",Status,"Date Closed","Reason Closed","No. of Eligible Voters","No. of Employees","Certified Representative","Unit Sought"
"Weyerhaeuser NR Company",20-RC-327065,Redding,CA,10/02/2023,"Region 20, San Francisco, California",Closed,11/16/2023,"Certific. of Representative",6,7,"Teamsters Local 137","Included: All full time and part time forklift operators and yard workers.
Excluded: All clerical staff, supervisors, and guards as defined by the Act.
"
"Walden Security",21-RC-327068,"San Diego",CA,10/02/2023,"Region 21, Los Angeles, California",Closed,10/05/2023,"Withdrawal Non-adjusted",,80,,"Included: The unit is defined as all full-time, shared-time, and temporary Federal Court Security Officers (“CSO”), Federal Special Security Officers (“SSO”), Lead Federal Court Security Officers (“LCSO”), and Senior Lead Federal Court Security Officers (“SLCSO”) employed by the Company in the 9th Circuit, Southern District of California  including those listed below, 

California Southern District Court, El Centro 
United States District Courthouse 
2003 West Adams Avenue 
El Centro, Ca 92243

Carter-Keep United States Courthouse
333 West Broadway 
San Diego, Ca 92101

Edward Schwartz United States Courthouse 
221 West Broadway 
San Diego, Ca 92101

US Probation Office
101 West Broadway Suite 700
San Diego, Ca 92101

US Probation Office
303 H Street
Chula Vista, Ca 91910

US Bankruptcy Court
325 F Street
San Diego, Ca 92101

Excluded:  All other employees including District Supervisors, office clerical employees and professional employees as defined under the National Labor Relations Act."
"Starbucks Corporation",16-RC-327002,Houston,TX,10/02/2023,"Region 16, Fort Worth, Texas","Open - Blocked",,,21,20,,"Included: All full-time and  regular part-time Baristas and Shift Supervisors.

Excluded: Store Managers, Assistance Store Managers, Office clericals, Guards, Professional Employees and Supervisors."
"RAINBOW BLOSSOM, INC.",09-RC-327110,Louisville,KY,10/02/2023,"Region 09, Cincinnati, Ohio","Open - Blocked",,,45,40,,"Included: All regular full-time and part-time persons in charge, department managers, assistant department managers, cashiers, sales floor clerks, customer service clerks, blossom bar employees, food service employees and transfer drivers.

Excluded: Janitors, guards, supervisors and managers as defined by the Act."
"Cornell University",03-RM-326996,Ithaca,NY,10/02/2023,"Region 03, Buffalo, New York",Closed,11/21/2023,"Certific. of Representative",,3000,,"Included: Graduate students enrolled in a Cornell University PhD and Masters degree programs 
at the Ithaca, Cornell Tech (Roosevelt Island) or Geneva campuses who hold the title of teaching 
assistants, research assistants, graduate assistants or graduate research assistants.  
Excluded: All other graduate students (including but not limited to students enrolled in a 
professional school); undergraduate students; graduate teaching specialists; graduate research 
specialists; fellows; all students at all other campuses (including but not limited to Doha, 
Washington, D.C., and Rome); graduate students not seeking Cornell degrees, including visiting 
students; office clericals; professional employees; managers; guards and supervisors as defined 
in the Act; and all other employees."
"Bering Straits",05-RC-327017,Washington,DC,10/02/2023,"Region 05, Baltimore, Maryland",Closed,10/04/2023,"Withdrawal Non-adjusted",,54,,"Included:  All armed and unarmed officers 

Excluded:  Office personal, Project manager, supervisors"
"Walden Security",19-RC-327055,Spokane,WA,10/02/2023,"Region 19, Seattle, Washington",Closed,10/11/2023,"Withdrawal Non-adjusted",,18,,"Included: 

The primary Union is in Los Angeles CA with 130.  The Spokane District is joining us.

Excluded:  

All other employees, Guards and Supervisors as defined in the Act."
"Crabar/GBF, Inc. d/b/a National Imprint Corporation",06-RD-327096,Claysburg,PA,10/02/2023,"Region 06, Pittsburgh, Pennsylvania",Closed,11/20/2023,"Certification of Results",16,3,,"Included-

All full-time and regular part-time production and maintenance employees employed at the Plant.

Excluded-

temporary employees, office clerical employees, quality control, salesmen, working foremen and guards."
"Lucini Bus Lines",01-RD-327125,"East Falmouth",MA,10/02/2023,"Region 01, Boston, Massachusetts",Closed,10/23/2023,"Withdrawal Non-adjusted",,22,,"Included: Bus drivers who drive for Falmouth Public Schools. Excluded: Charter drivers.

"
"STC OpCo, LLC d/b/a St. Christopher's Hospital for Children",04-RD-327041,Philadelphia,PA,10/02/2023,"Region 04, Philadelphia, Pennsylvania",Closed,12/08/2023,"Certification of Results",277,150,,"Included:  Administrative Coordinator/Office Coordinator, Materials Management/Materials Supply Coordinator/Transport Tech, Receptionist, File Clerk, Food Service Worker, Distribution Tech/Supply and Distribution Clerk/Mail/Duplicating Clerk, Medical Records Clerk, Medical Secretary/Medical Secretary II/Lead Administrative Assistant, Medical Scheduler, Unit Secretary, Department Secretary, Distribution Clerk, Service Technician, Central Services Technician, Diener, SPD Tech, Nursing Asst. CAN/ER Tech"
"Conagra Foods Packaged Foods, LLC",25-RC-327091,Indianapolis,IN,10/02/2023,"Region 25, Indianapolis, Indiana",Closed,11/20/2023,"Certific. of Representative",21,25,"United Food and Commercial Workers, Local 700","Included: All full-time and part-time maintenance workers.  Excluded: All guards, supervisors and managers as defined by the Act."
"Overseas Shipping Group, Inc.",12-RM-327039,Tampa,FL,10/02/2023,"Region 12, Tampa, Florida",Open,,,,104,,"INCLUDED:  All full-time and regular part-time licensed deck officers, including Chief Mates, Floating Chief Mates, Second Mates and Third Mates, employed on U.S. Flag vessels operated by OSG Ship Management, Inc.
EXCLUDED:  All other employees, Captains, deck cadets, non-licensed deck officers, licensed deck officers on vessels operated by Alaska Tanker Company, LLC, licensed deck officers on articulated tug barges, and guards and supervisors as defined by the Act."
"Rising for Justice, Inc.",05-RC-326993,Washington,DC,10/02/2023,"Region 05, Baltimore, Maryland",Closed,11/08/2023,"Certific. of Representative",15,19,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild – Communications Workers of America, AFL-CIO, CLC","Included: All full-time and regular part-time employees.

Excluded: Managerial employees, supervisors and confidential employees as defined in the Act."
"PRINCETON UNIVERSITY/PRINCETON PLASMA PHYSICS LABORATORY",22-RC-327064,Princeton,NJ,10/02/2023,"Region 22, Newark, New Jersey",Closed,11/21/2023,"Certific. of Representative",17,17,"NEW JERSEY STATE FIREFIGHTERS MUTUAL BENEVOLENT ASSOCIATION","INCLUDED:  Emergency Services Officers, Lieutenants, and Site Protection Training Coordinator 

EXCLUDED:  All other employees, subcontractors and supervisors"
"Starbucks Corporation",14-RC-327075,"Midwest City",OK,10/02/2023,"Region 14, Saint Louis, Missouri",Closed,11/21/2023,"Certific. of Representative",17,19,"Workers United","Included: All full-time & regular part-time Baristas & Shift Supervisors; Excluded: Store Mgrs, Asst Store Mgrs/Ofc Clericals, Guards, Prof'l Employees and Supervisors
"
"Gared Graphics",31-RC-327100,Camarillo,CA,10/02/2023,"Region 31, Los Angeles, California",Closed,10/05/2023,"Withdrawal Non-adjusted",,88,,"Included: All pressmen, die makers, machine operators, assistant machine operators, strippers, stock handlers, forklift operators, shipping clerks, platemakers, and general laborers.

Excluded: All employees, guards, managers, and supervisors as defined in the Act.

"
"Darigold, Inc.",19-RC-327052,Spokane,WA,10/02/2023,"Region 19, Seattle, Washington",Closed,10/18/2023,"Withdrawal Non-adjusted",,52,,"Included: All regular full time and part time production, warehouse, tech-lab, and lead employees. Excluded: All maintenance and other employees, including managers, supervisors, and guards as defined by the act."
"Babco Services, LLC., Babco Facility Services, LLC. and BC Facility Services, Inc., as a Single Employer",22-RC-327010,"Jersey City",NJ,09/29/2023,"Region 22, Newark, New Jersey",Closed,12/19/2023,"Certific. of Representative",9,3,"Service Employees International Union Local 32BJ","INCLUDED:  All full-time and regular part-time employees employed at the building (70 Columbus Drive).

EXCLUDED:  Excluding supervisors and guards as defined in the Act."
"CANNASCEND OHIO COLUMBUS, LLC D/B/A STRAWBERRY FIELDS",09-RM-326914,Columbus,OH,09/29/2023,"Region 09, Cincinnati, Ohio",Closed,12/04/2023,"Certific. of Representative",22,24,"Teamsters Local Union No. 413","Included:  Full time Dispensary Agent.

Excluded:  Part time Dispensary Agent and Managers."
"Cascadia Health",19-RC-326923,Portland,OR,09/29/2023,"Region 19, Seattle, Washington",Closed,11/27/2023,"Certific. of Representative",6,6," Oregon AFSCME Council 75, Local 1790-004","Included: All full-time and part-time non-supervisory workers including Mental Health Aide I and II, Peer Wellness Specialist at the Joyce. Excluded:  Guards and supervisors as defined by the Act."
"Tech Group Grand Rapids, Inc., d/b/a West Contract Manufacturing",07-RC-327146,Walker,MI,09/29/2023,"Region 07, Detroit, Michigan",Closed,11/20/2023,"Certification of Results",358,368,"Local 406, International Brotherhood of Teamsters (IBT)","Included:  Assembly, Material Handler, Maintenance, Technician, Operator.

Excluded:  Supervisors and Guards as defined by the Act.
"
"Cornell University",03-RC-326874,Ithaca,NY,09/29/2023,"Region 03, Buffalo, New York",Closed,11/21/2023,"Certific. of Representative",3175,3500,"United Electrical, Radio & Machine Workers of America (UE) Union","Included:
Graduate students enrolled in Cornell University degree programs who are 
employed to provide teaching and research services, including teaching assistants, 
research assistants, graduate assistants, graduate research assistants, graduate 
teaching/research specialists, and fellows. 
Excluded: Undergraduate students; graduate students not seeking Cornell degrees, including 
visiting students; office clericals; managers; guards and supervisors as defined in 
the Act."
"Durham School Services, L.P.",15-RC-326917,Memphis,TN,09/29/2023,"Region 15, New Orleans, Louisiana",Closed,11/17/2023,"Certific. of Representative",29,24,"Teamsters Local 667","Included:
All bus drivers and monitors, including for charter, municipal and any other customers, employed by the employer and its 2325 Kentucky Street, Memphis, TN 38109 facility. 

Excluded: All other employees, and all managers, guards and supervisors as defined by the Act."
"FIAT PRODUCTS LLC",09-RD-326871,Somerset,KY,09/29/2023,"Region 09, Cincinnati, Ohio",Closed,11/06/2023,"Certification of Results",25,26,,"Included:  Laborers.

Excluded:  All other employees, office clerical employees, guards, and supervisors as defined by the Act."
"CBRE, Inc.",32-RC-326966,"San Jose",CA,09/29/2023,"Region 32, Oakland, California",Closed,11/03/2023,"Certific. of Representative",6,6,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 39, AFL-CIO","Included: All full time and part time Chief Engineers, Assistant Chief Engineers, Stationary Engineers and Utility Engineers.

Excluded: All other classifications, including but not limited to guards, managers, confidential employees and supervisors as defined by the Act."
"Albertsons LLC",27-RC-326961,Caldwell,ID,09/29/2023,"Region 27, Denver, Colorado",Closed,10/16/2023,"Withdrawal Non-adjusted",,7,,"Included: All full- and part-time Bakery Production and Cake Decorators in Caldwell, ID (Stores
 #103 and #166) CBA.

Excluded: All other employees, including supervisors, managers, and guards as defined by the
 Act"
"Babco Services, LLC., Babco Facility Services, LLC. and BC Facility Services, Inc., as a Single Employer",22-RC-327018,"Jersey City",NJ,09/29/2023,"Region 22, Newark, New Jersey",Closed,12/19/2023,"Certific. of Representative",,4,,"INCLUDED:  All full-time and regular part-time employees employed at the building (90 Columbus Drive).

EXCLUDED:  Excluding supervisors and guards as defined in the Act."
"Triple Canopy, Inc.",05-RC-326975,Catonsville,MD,09/29/2023,"Region 05, Baltimore, Maryland",Closed,12/05/2023,"Certific. of Representative",18,18,"Governed United Security Professionals (GUSP)","Included: Lieutenants.

Excluded: All office personnel, armed and unarmed officers, Captains and Project Manager."
"LTS Managed Technical Services, LLC",13-RC-326971,Elmhurst,IL,09/29/2023,"Region 13, Chicago, Illinois",Closed,11/14/2023,"Certific. of Representative",32,30,"International Union of Operating Engineers, Local 150, AFL-CIO","Included:  Foremen, locators, operators, laborers, linesmen, splicers, and drivers.

Excluded: Guards, clericals, supervisors, and managers as defined by the Act."
"Corvallis Disposal Co. d/b/a Allied Waste Services of Corvallis / Republic Services of Corvallis",19-RC-327011,Corvallis,OR,09/29/2023,"Region 19, Seattle, Washington",Closed,10/31/2023,"Withdrawal Non-adjusted",,46,,"Included: All full time and regular part time drivers and yard employees at the Republic Services facility in Corvallis, OR. Excluded: All sales, office clerical, professional employees, mechanics, guards and supervisors as defined by the Act."
"The Nine 52nd Condominium",02-RC-326976,"New York",NY,09/29/2023,"Region 02, New York, New York",Closed,10/11/2023,"Withdrawal Non-adjusted",,8,,"Included:
All building service workers

Excluded:
Statutory guards and supervisors"
"Hex NYC LLC, Hex East LLC, and Hex Squared LLC, as joint employers d/b/a Hex & Co.",02-RM-327355,"New York",NY,09/29/2023,"Region 02, New York, New York",Closed,12/11/2023,"Certific. of Representative",70,60,"New York New Jersey Regional Joint Board, Workers United a/w Service Employees International Union","Included:
All full-time and regular part-time after-school counsellors, after-school assistant coordinators, baristas, barista shift supervisors, schedulers, beer coordinators, magic coordinators, and payroll clerks

Excluded:
All statutory supervisors and guards including coordinators, general managers, director of operations, east-side coordinators, RPG coordinators, and weekend coordinators


"
"Segerstrom Center for the Arts",21-RM-327048,"Costa Mesa",CA,09/29/2023,"Region 21, Los Angeles, California",Open,,,46,30,"International Alliance of Theatrical Stage Employees Local 504","Included:  Full time and regular part time theater operations employees (specifically event leads, crews and technicians).

Excluded:  All other employees; guards and supervisors."
"Albertson's LLC",27-RC-326963,Meridian,ID,09/29/2023,"Region 27, Denver, Colorado",Closed,11/27/2023,"Certification of Results",13,14,"United Food and Commercial Workers, Local 555, AFL-CIO","Included: All Journeyperson and Apprentice Meatcutter, Butcher Block, Meat Wrapper, and Meat Clean-Up employees in Boise, Nampa, and Caldwell, ID CBA.

Excluded: All other employees, including supervisors, managers, and guards as defined by the Act.
"
"CBRE, Inc.",32-RC-326930,"Mountain View",CA,09/29/2023,"Region 32, Oakland, California",Closed,11/03/2023,"Certific. of Representative",17,17,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 39, AFL-CIO","Included: All full time and part time Chief Engineers, Assistant Chief Engineers, Stationary Engineers, and Utility Engineers.

Excluded: All other classifications, including but not limited to guards, managers, confidential employees and supervisors as defined by the Act."
"The BOWA Group, Inc.",13-RM-326892,Chicago,IL,09/29/2023,"Region 13, Chicago, Illinois",Open,,,7,6,,"Included: All current regular full-time “laborers” reporting to 7050 S. Stony Island Ave, Chicago, Illinois
whose job duties primarily consist of picking up, transporting and delivering office supplies and
miscellaneous materials and equipment, disposing of office trash and general cleaning functions.

Excluded:  All other employees"
"Rady Children's Hospital & Health Center",21-RC-327003,"San Diego",CA,09/29/2023,"Region 21, Los Angeles, California",Closed,10/11/2023,"Withdrawal Non-adjusted",,30,,"Included:  Registered Dietician I, Registered Dietician II, and Registered Dietician III employees

Excluded:  All other employees including office clerical employees, managerial employees, confidential employees, guards, and supervisors as defined in the Act."
"The Broadway League",02-RC-326994,"New York",NY,09/29/2023,"Region 02, New York, New York",Open,,,,100,,"Included: 
All production assistants working under stage management employed by producers who 
are members of the Broadway League"
"Babco Service, LLC., Babco Facility Services LLC. and BC Facility Services, Inc., as a Single Employer",22-RC-327022,Hoboken,NJ,09/29/2023,"Region 22, Newark, New Jersey",Open,,,3,3,,"INCLUDED:  All full-time and regular part-time employees employed at the building (205 Hudson Street).

EXCLUDED:  Excluding supervisors and guards as defined in the Act."
"Oregon Nurses Association",19-RC-327031,Tualatin,OR,09/29/2023,"Region 19, Seattle, Washington",Closed,10/11/2023,"Withdrawal Non-adjusted",,2,,"Included: All full-time, part-time, and limited duration employees of the association. Excluded: Executive team, confidential employees and supervisors as defined in the Act."
"Legacy Clinics, LLC d/b/a Legacy Emanuel Medical Center and Legacy Good Samaritan Hospital",19-RC-326944,Portland,OR,09/29/2023,"Region 19, Seattle, Washington",Closed,11/28/2023,"Certific. of Representative",69,235,"Pacific Northwest Hospital Medicine Association, American Federation of Teachers Local 6552, AFL-CIO","Included: All full-time, part-time, and Per Diems (supplementals) who practice solely inpatient in the following positions: DO (Doctor of Osteopathic Medicine),  MD (Doctor of Medicine),  PA (Physician Assistant) and NP (Nurse Practitioner) at the following acute care facilities: Legacy Good Samaritan Medical Center, Portland, Oregon 1015 NW 22nd Ave, Portland, OR 97210, Legacy Emanuel Medical Center, Portland 501 N. Graham St. Portland, OR, 9722, Randall Children’s Hospital at Legacy Emanuel Medical Center, Portland 2801 N. Gantenbein Ave. Portland, OR, 97227, Legacy Unity Center for Behavioral Health, Portland 1225 NE 2nd Ave, Portland, OR 97232, Legacy Meridian Park Medical Center, Tualatin 19300 SW 65th Ave, Tualatin, OR 97062, Legacy Mount Hood Medical Center, Gresham 24800 SE Stark St, Gresham, OR 97030, Legacy Silverton Medical Center, Silverton 342 Fairview Street Silverton, Oregon, 97381 Legacy Salmon Creek Medical Center, Vancouver.  2211 NE 139th St, Vancouver, WA 98686. Excluded: Supervisors."
"Albertson's LLC",27-RC-326942,Payette,ID,09/29/2023,"Region 27, Denver, Colorado",Closed,11/27/2023,"Certification of Results",7,7,,"Included: All Journeyperson and Apprentice Meatcutter, Butcher Block, Meat Wrapper, and Meat Clean-Up employees in Boise, Nampa, and Caldwell, ID CBA.

Excluded: All other employees, including supervisors, managers, and guards as defined by the Act.
"
"Albertson's LLC",27-RC-326968,Boise,ID,09/29/2023,"Region 27, Denver, Colorado",Closed,11/27/2023,"Certification of Results",8,7,"United Food and Commercial Workers Local 555, AFL-CIO","Included: See attached Excluded: See attached"
"Renovo Solutions, LLC",19-RC-326954,Kirkland,WA,09/29/2023,"Region 19, Seattle, Washington",Closed,11/13/2023,"Certific. of Representative",7,9,"International Association of Machinists and Aerospace Workers, District Lodge 751, AFL-CIO","Included: All full time and part time biomedical equipment workers and leads working out of the Evergreen Health Medical Center in Kirkland, WA and Evergreen Health Monroe Medical Center in Monroe, WA. Excluded: All other employees as defined in the Act."
"Clean Team Janitorial Services, Inc.",05-AC-326980,Washington,DC,09/29/2023,"Region 05, Baltimore, Maryland",Closed,11/17/2023,"Unit Clarification",,50,,"Included:  All full-time and regular part-time cleaners employed by the Employer at the
District of Columbia Water and Sewer Authority facilities currently located
at 5000 Overlook Avenue, SW, 301 Bryant Street, NW, and 125 O Street, SE,
Washington, DC

Excluded:  All employees, office clerical employees, temporary employees, confidential
employees, professional employees, guards, managerial employees, and
supervisors as defined in the Act."
"CBRE, Inc.",32-RC-326965,"San Jose",CA,09/29/2023,"Region 32, Oakland, California",Closed,11/03/2023,"Certific. of Representative",15,13,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 39, AFL-CIO","Included: All full time and part time Chief Engineers, Assistant Chief Engineers, Stationary Engineers and Utility Engineers.

Excluded: All other classifications, including but not limited to guards, managers, confidential employees and supervisors as defined by the Act."
"Quest Diagnostics Incorporated",21-RC-326900,"San Diego",CA,09/29/2023,"Region 21, Los Angeles, California",Closed,11/20/2023,"Certification of Results",44,44,,"Included: All full-time and regular part-time RSR (Route Service Representatives), STAT Drivers, Specialty Drivers, Advanced Drivers, Shuttle drivers and Lead drivers located at the 9245 Activity Rd, Suite 109, San Diego, CA 92126 and 1635 Main Street, El Centro, CA 92243 location.

Excluded: All other employees, Guards and Supervisors."
"Babco Service, LLC., Babco Facility Services, LLC., and BC Facility Services, Inc., as a Single Employer",22-RC-327033,Hoboken,NJ,09/29/2023,"Region 22, Newark, New Jersey",Open,,,11,8,,"INCLUDED:  All full-time and regular part-time employees employed at the buildings (Shipyard Buildings: 1 Independence Ct., 2 12th St., 2 Constitution Court and 1 & 2 14th St., Hoboken NJ).

EXCLUDED:  Excluding supervisors and guards as defined in the Act.
"
"CBRE, Inc.",32-RC-326957,"San Jose",CA,09/29/2023,"Region 32, Oakland, California",Closed,11/03/2023,"Certific. of Representative",14,15,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 39, AFL-CIO","Included: All full time and part time Chief Engineers, Assistant Chief Engineers, Stationary Engineers and Utility Engineers. 

Exclude: All other classifications, including but not limited to guards, managers, confidential employees and supervisors as defined by the Act."
"Children's National Hospital",05-RC-326832,Washington,DC,09/28/2023,"Region 05, Baltimore, Maryland",Closed,10/23/2023,"Withdrawal Non-adjusted",,2,,"Included: Healthcare R,N.'s

Excluded:"
"MV Transportation, Inc.",31-RC-326888,Lancaster,CA,09/28/2023,"Region 31, Los Angeles, California",Closed,11/08/2023,"Certific. of Representative",26,24,"International Brotherhood of Teamsters, Wholesale Delivery Drivers, General Truck Drivers, Chauffeurs, Sales, Industrial and Allied Workers, Local 848","Included: All regular Part-Time, Full-Time Mechanic Technician employees, Utility employees and Parts employees. 

Excluded: All other employees, Professional employees, Managerial employees, Guards and Supervisors as defined in the Act."
"Summerlin Hospital Medical Center, LLC",28-RC-327203,"Las Vegas",NV,09/28/2023,"Region 28, Phoenix, Arizona",Open,,,185,100,,"Included: All full time and regular part time, Respiratory Therapist, Respiratory Care Practitioner, Pharmacy Surgical Technicians,  
Occupation Therapist Assistants, Physical Therapist Assistants, Sterile Processing Technicians, Obstetrician Technicians and Anesthesia Technicians employed by the employer at Summerlin Hospital Medical Center located at 657 N Town Center Dr, Las Vegas, NV 89144.             

Excluded: All other non-professional employees, managers, Directors, Buyers, Physicians, all other professional employees, skilled maintenance employees, business office clerical employees, guards, and supervisors under the Act."
"ISS Action, Inc.",16-RC-326864,"Del Rio",TX,09/28/2023,"Region 16, Fort Worth, Texas",Closed,11/14/2023,"Certification of Results",4,3,,"Included: All full time, regular part time, and on call Mechanics, Mechanic Helpers, Vehicle Cleaners, and Tool and Parts Personnel employed by the employer in the Del Rio Sector at 4778 W US Highway 90, Del Rio, TX 78840.

Excluded: Managers, Supervisor, Clerical Workers, and other employees including professional employees, managerial employees, guards, supervisors, and other employees as defined by the Act."
"Silver State Transportation Services, LLC",28-RC-327218,"Las Vegas",NV,09/28/2023,"Region 28, Phoenix, Arizona",Closed,11/30/2023,"Certific. of Representative",101,84,"Amalgamated Transit Union, Local 1637, AFL-CIO, CLC","Included:  All full-time and regular part-time employees employed at or out of the facilities 
currently located at 5165 W. Sunset Road in Las Vegas and 3210 Citizen Ave in North Las 
Vegas.  

Excluded: All other employees, managers, and guards and supervisors as defined in the Act."
"Montefiore Medical Center",02-RC-326767,Bronx,NY,09/28/2023,"Region 02, New York, New York",Closed,12/06/2023,"Certific. of Representative",63,63,"1199SEIU United Healthcare Workers East-RN Division","Included:
All regular full-time and part-time physical therapists, staff physical therapists, senior physical therapists, and senior II physical therapists working at the Employer’s
Moses Campus located at 111 210th Street, Bronx, NY, the Children’s Evaluation and Rehabilitation Center (CERC), located at 1225 Morris Park Avenue, Bronx, NY,
and the Home Health Agency.

Excluded:
All other employees, confidential employees, guards, and supervisors as defined in the Act"
"Starbucks Corporation",16-RM-326843,"Farmers Branch",TX,09/28/2023,"Region 16, Fort Worth, Texas",Closed,11/01/2023,"Certific. of Representative",20,24,"Workers United","Included:
All full-time  and regular part time baristas and shift supervisors employed by the Employer at its facility located at its facility at 2425 Valley View Ln., Farmers Branch TX 75234.

Excluded: 
All store managers, assistant manager, office clericals, confidential employees, managerial employees, and all other employees professional employees, and guards and supervisors as defined in the Act.

"
"Spirit Lex, LLC",14-RC-326803,"Creve Coeur",MO,09/28/2023,"Region 14, Saint Louis, Missouri",Open,,,20,19,"District Lodge 9, International Association of Machinists and Aerospace Workers, AFL-CIO","Included: All full-time and regular part-time Service Technicians, including Journeyman Technicians, Apprentice Technicians, Alignment Technicians, and Lube Technicians employed at the Employer's facility located at 777 Decker Lane, Creve Coeur, MO 63141;
Excluded: All other employees, office clerical employees, professional employees, guards and supervisors, as defined by the Act"
"Teamsters Local 431",32-RC-326909,Fresno,CA,09/28/2023,"Region 32, Oakland, California",Open,,,,3,,"Included: All office clerical employees.

Excluded: All other employees."
"Rita's Fine Foods, Inc. d/b/a Glo's Diner",19-RD-326934,Seattle,WA,09/28/2023,"Region 19, Seattle, Washington",Closed,11/13/2023,"Certification of Results",23,28,,"Included:  

Glo’s Diner Employees (front and back of house).

Excluded:  

Glo’s Diner Owners & Union Representative."
"ABC Supply Co, Inc.",04-RM-326854,Philadelphia,PA,09/28/2023,"Region 04, Philadelphia, Pennsylvania",Closed,11/03/2023,"Certification of Results",5,5,,"Included:  4 Delivery Drivers and 1 Warehouse Material Handler"
"10 Roads Express, LLC",27-RC-326700,"Salt Lake City",UT,09/27/2023,"Region 27, Denver, Colorado",Closed,02/13/2024,"Certific. of Representative",11,40,"International Brotherhood of Teamsters Local 222","Included: Drivers. Excluded: Administration, supervisors, office clerical employees, janitors and guards."
"Walt Disney Parks & Resorts, U.S., Inc.",21-RC-326802,Anaheim,CA,09/27/2023,"Region 21, Los Angeles, California",Closed,10/31/2023,"Certific. of Representative",34,33,"International Alliance of Theatrical Stage Employees, Local 504, AFL-CIO","Included: All fulltime, regular part-time and temporary (including casual temporary and casual regular) pyrotechnical employees.

Excluded: All other employees, clerical employees, guards and supervisors as defined in the NLRA"
"Quixote Studios, LLC",31-RC-326713,Pacoima,CA,09/27/2023,"Region 31, Los Angeles, California",Closed,10/31/2023,"Certific. of Representative",5,6,"Laborers International Union of North America, Local 724","Included: All studio utility laborers and facilities laborers employed at the Employer’s facility located at 102252 Norris Ave, Pacoima, California, 91331, and who are dispatched to support/service the
Employer’s studio and stage properties throughout Los Angeles County, California.

Excluded: All other employees employed at the Employer’s facility located at 102252 Norris Ave, Pacoima, California, 91331, including guards, supervisors and managerial employees as defined by the Act."
"LABORERS UNION LOCAL 304",32-RD-326860,Hayward,CA,09/27/2023,"Region 32, Oakland, California",Closed,10/10/2023,"Withdrawal Non-adjusted",,4,,"Included: All full-time and regular part-time office employees employed by the Employer at 29475 Mission Blvd., Hayward, CA 94544.

Excluded: officers of Local 304, confidential employees, guards, supervisors as defined by the Act."
Petco,19-RC-326695,Keizer,OR,09/27/2023,"Region 19, Seattle, Washington",Closed,10/18/2023,"Withdrawal Non-adjusted",,20,,"Included:  All full-time and regular part-time non-supervisory and non-professional employees. Excluded: All professional employees, guards, and supervisors as defined by the Act."
"10 Roads Express LLC",14-RC-326650,"Carter Lake",IA,09/27/2023,"Region 14, Saint Louis, Missouri",Closed,11/17/2023,"Certific. of Representative",36,36,"General Drivers and Helpers Union, Local No. 554","Included: Full time drivers and regular part-time drivers operating out of: 1655 Locust Street, in Carter Lake, Iowa; 1705 Veterans Memorial Highway in Council Bluffs, Iowa and 1001 Pierce Street in Omaha, Nebraska;
Excluded: All other employees"
"CDA, Inc. d/b/a MaxSent and Kerberos International, Inc.",05-RC-326696,Spotsylvania,VA,09/27/2023,"Region 05, Baltimore, Maryland",Closed,12/01/2023,"Certific. of Representative",101,101,"International Guards Union of America","Included:  Protective Security Officers

Excluded:  All managers, supervisors as defined by the NLRA, office and/or clerical employees, a"
"Cummins Inc",03-RD-326636,Cheektowaga,NY,09/27/2023,"Region 03, Buffalo, New York",Closed,10/24/2023,"Certification of Results",18,18,"International Association of Machinists and Aerospace Workers District 15, Local 447","Included: Bargained unit employees
Excluded: Non-bargained employees"
"Semass Partnership, LP",01-RC-326663,"West Wareham",MA,09/27/2023,"Region 01, Boston, Massachusetts",Open,,,,120,,"Included: All full time and regular part time employees under the following classifications: Assistant Auxiliary Operator-Power Block, Asst Control Room Operator, Asst Control Room Operator-Power
Block, Auxiliary Operator, Auxiliary Operator-Power Block, Auxiliary Operator-Process, Control Room Operator, Control Room Operator-Process, Electrical and Instrument Technician, Lead
Electrical and Instrument Technician, Equipment Operator-Process, Lead Mobile Equipment Mechanic, Maintenance Mechanic, Maintenance Utility Technician, Maintenance Helpers,
Mobile Equipment Mechanic, Scale Attendant, Storekeeper, Systems Operator, Truck Driver, Utility Operator, Utility Operator-Process, Water Systems Operator, Welders. Excluded: All other employees, clerical/administrative, managers, confidential employees, guards and supervisors as defined in
the Act."
"Spanish Springs Construction, Inc. dba Western Nevada Materials",32-RM-326793,"Spanish Springs",NV,09/27/2023,"Region 32, Oakland, California",Open,,,29,29,,"Included:  DG Loader; DG Plant; Foreman; Ground 2nd Shift; Haul Truck; Jaw Operator; Loader 2nd Shift; Loadout; Mechanic 2nd Shift; Operator; Pit – Loader/Dozer; Pit Truck; Pit Loader; Plant; Plant/Clarifier; Plant Ground; Plant Operator; R&M; and Water Truck employees. 

Excluded:  Managers; supervisors; foremen; clerical and confidential employees; administrative employees; laboratory/QC employees; professionals; guards; and all other employees not specifically included."
